| Communications | New Caledonia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 92,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 34 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 246,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 91 (July 2016 est.) |
| Telephone system: | general assessment: well advanced telecoms sector; 4G network services (2018) |
| Telephone system: | domestic: fixed-line 34 per 100 and mobile-cellular telephone subscribershipÂ 91 per 100 persons (2018) |
| Telephone system: | international: country code - 687; landing points for the Gondwana-1 and Picot-1 providing connectivity via submarine cablesÂ around NewÂ Caledonia andÂ to Australia; satellite earth station - 1 Intelsat (Pacific Ocean) (2019) |
| Broadcast media: | the publicly owned French Overseas Network (RFO), which operates in France's overseas departments and territories, broadcasts over the RFO Nouvelle-CalÃ©donie TV and radio stations; a small number of privately owned radio stations also broadcast |
| Internet country code: | .nc |
| Internet users: | total: 201,000 |
| Internet users: | percent of population: 74% (July 2016 est.) |
