| Communications | Czech Republic |
| --- | --- |
| Telephones - main lines in use: | 2.278 million (2008) |
| Telephones - mobile cellular: | 13.78 million (2008) |
| Telephone system: | general assessment: privatization and modernization of the Czech telecommunication system got a late start but is advancing steadily; access to the fixed-line telephone network expanded throughout the 1990s but the number of fixed line connections has been dropping since then; mobile telephone usage increased sharply beginning in the mid-1990s and the number of cellular telephone subscriptions now greatly exceeds the population |
| Telephone system: | domestic: virtually all exchanges now digital; existing copper subscriber systems enhanced with Asymmetric Digital Subscriber Line (ADSL) equipment to accommodate Internet and other digital signals; trunk systems include fiber-optic cable and microwave radio relay |
| Telephone system: | international: country code - 420; satellite earth stations - 6 (2 Intersputnik - Atlantic and Indian Ocean regions, 1 Intelsat, 1 Eutelsat, 1 Inmarsat, 1 Globalstar) (2008) |
| Radio broadcast stations: | AM 31, FM 304, shortwave 17 (2000) |
| Television broadcast stations: | 71 (2008) |
| Internet country code: | .cz |
| Internet hosts: | 3.233 million (2009) |
| Internet users: | 6.028 million (2008) |
