| Communications |
| --- | --- |
| Telephones - main lines in use: | 3.869 million (2000) |
| Telephones - mobile cellular: | 4.346 million (2000) |
| Telephone system: | general assessment: privatization and modernization of the Czech telecommunication system got a late start but is advancing steadily; growth in the use of mobile cellular telephones is particularly vigorous |
| Telephone system: | domestic: 86% of exchanges now digital; existing copper subscriber systems now being enhanced with Asymmetric Digital Subscriber Line (ADSL) equipment to accommodate Internet and other digital signals; trunk systems include fiber-optic cable and microwave radio relay |
| Telephone system: | international: satellite earth stations - 2 Intersputnik (Atlantic and Indian Ocean regions), 1 Intelsat, 1 Eutelsat, 1 Inmarsat, 1 Globalstar |
| Radio broadcast stations: | AM 31, FM 304, shortwave 17 (2000) |
| Radios: | 3,159,134 (December 2000) |
| Television broadcast stations: | 150 (plus 1,434 repeaters) (2000) |
| Televisions: | 3,405,834 (December 2000) |
| Internet country code: | .cz |
| Internet Service Providers (ISPs): | more than 300 (2000) |
| Internet users: | 900,000 (2000) |
