| Communications | Barbados |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 139,645 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 48 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 337,791 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 116 (2017 est.) |
| Telephone system: | general assessment: island-wide automatic telephone system; telecom sector across the Caribbean region remains one of the key growth areas; numerous competitors licensed, but small and localized (2018) |
| Telephone system: | domestic: fixed-line teledensity of roughly 48 per 100 persons; mobile-cellular telephone density about 116 per 100 persons (2018) |
| Telephone system: | international: country code - 1-246; landing points for the ECFS and Southern Caribbean Fiber submarine cable with links to 15 other islands in the eastern Caribbean extending from the British Virgin Islands to Trinidad and Puerto Ricco; satellite earth stations - 1 (Intelsat - Atlantic Ocean); tropospheric scatter to Trinidad and Saint Lucia (2019) |
| Broadcast media: | government-owned Caribbean Broadcasting Corporation (CBC) operates the lone terrestrial TV station; CBC also operates a multi-channel cable TV subscription service; roughly a dozen radio stations, consisting of a CBC-operated network operating alongside privately owned radio stations |
| Internet country code: | .bb |
| Internet users: | total: 231,883 |
| Internet users: | percent of population: 79.5% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 89,340 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 31 (2017 est.) |
