| Communications | Marshall Islands |
| --- | --- |
| Telephones - main lines in use: | 4,500 (2003) |
| Telephones - mobile cellular: | 600 (2002) |
| Telephone system: | general assessment: digital switching equipment; modern services include telex, cellular, internet, international calling, caller ID, and leased data circuits |
| Telephone system: | domestic: Majuro Atoll and Ebeye and Kwajalein islands have regular, seven-digit, direct-dial telephones; other islands interconnected by shortwave radiotelephone (used mostly for government purposes) |
| Telephone system: | international: country code - 692; satellite earth stations - 2 Intelsat (Pacific Ocean); US Government satellite communications system on Kwajalein (2001) |
| Radio broadcast stations: | AM 2, FM 1, shortwave 0 |
| Radio broadcast stations: | note: additionally, the US Armed Forces Radio and Television Services (Central Pacific Network) operate one FM and one AM station on Kwajalein (2002) |
| Radios: | NA |
| Television broadcast stations: | 2 (both are US military stations) (2002) |
| Televisions: | NA |
| Internet country code: | .mh |
| Internet hosts: | 6 (2003) |
| Internet Service Providers (ISPs): | 1 (2002) |
| Internet users: | 1,400 (2003) |
