| Communications | MARSHALL ISLANDS |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2,400 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 3 (2014 est.) |
| Telephones - mobile cellular: | total: 15,500 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 22 (2014 est.) |
| Telephone system: | general assessment: digital switching equipment; modern services include telex, cellular, Internet, international calling, caller ID, and leased data circuits |
| Telephone system: | domestic: Majuro Atoll and Ebeye and Kwajalein islands have regular, seven-digit, direct-dial telephones; other islands interconnected by high frequency radiotelephone (used mostly for government purposes) and mini-satellite telephones |
| Telephone system: | international: country code - 692; satellite earth stations - 2 Intelsat (Pacific Ocean); US Government satellite communications system on Kwajalein (2005) |
| Broadcast media: | no TV broadcast station; a cable network is available on Majuro with programming via videotape replay and satellite relays; 4 radio broadcast stations; American Armed Forces Radio and Television Service (AFRTS) provides satellite radio and television service to Kwajalein Atoll (2009) |
| Radio broadcast stations: | AM 1, FM 3, shortwave 0 (additionally, the American Armed Forces Radio and Television Service (Central Pacific Network) operates one FM and one AM station on Kwajalein Island) (2005) |
| Television broadcast stations: | 2 (both are US military stations; Marshalls Broadcasting Service, a cable company, operates on Majuro) (2005) |
| Internet country code: | .mh |
| Internet users: | total: 1,700 |
| Internet users: | percent of population: 2.4% (2014 est.) |
