| Communications | ARGENTINA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 9.4 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 22 (2014 est.) |
| Telephones - mobile cellular: | total: 66.4 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 154 (2014 est.) |
| Telephone system: | general assessment: in 1998 Argentina opened its telecommunications market to competition and foreign investment encouraging the growth of modern telecommunications technology; fiber-optic cable trunk lines are being installed between all major cities; major networks are entirely digital and the availability of telephone service is improving |
| Telephone system: | domestic: microwave radio relay, fiber-optic cable, and a domestic satellite system with 40 earth stations serve the trunk network; fixed-line teledensity is increasing gradually and mobile-cellular subscribership is increasing rapidly; broadband Internet services are gaining ground |
| Telephone system: | international: country code - 54; landing point for the Atlantis-2, UNISUR, South America-1, and South American Crossing/Latin American Nautilus submarine cable systems that provide links to Europe, Africa, South and Central America, and US; satellite earth stations - 112; 2 international gateways near Buenos Aires (2011) |
| Broadcast media: | government owns a TV station and a radio network; more than 2 dozen TV stations and hundreds of privately owned radio stations; high rate of cable TV subscription usage (2007) |
| Radio broadcast stations: | AM 260, FM (probably more than 1,000, mostly unlicensed), shortwave 6 (1998) |
| Television broadcast stations: | 42 (plus 444 repeaters) (1997) |
| Internet country code: | .ar |
| Internet users: | total: 25.7 million |
| Internet users: | percent of population: 59.7% (2014 est.) |
