| Communications | Argentina |
| --- | --- |
| Telephones - main lines in use: | 9.5 million (2007) |
| Telephones - mobile cellular: | 40.402 million (2007) |
| Telephone system: | general assessment: by opening the telecommunications market to competition and foreign investment with the "Telecommunications Liberalization Plan of 1998," Argentina encouraged the growth of modern telecommunications technology; fiber-optic cable trunk lines are being installed between all major cities; major networks are entirely digital and the availability of telephone service is improving; fixed-line telephone density is gradually increasing reaching nearly 25 lines per 100 people in 2007; mobile telephone subscribership has been increasing rapidly and has reached a level of 100 telephones per 100 persons |
| Telephone system: | domestic: microwave radio relay, fiber-optic cable, and a domestic satellite system with 40 earth stations serve the trunk network; more than 110,000 pay telephones are installed and mobile telephone use is rapidly expanding; broadband services are gaining ground |
| Telephone system: | international: country code - 54; landing point for the Atlantis-2, UNISUR, and South America-1 optical submarine cable systems that provide links to Europe, Africa, South and Central America, and US; satellite earth stations - 112; 2 international gateways near Buenos Aires (2007) |
| Radio broadcast stations: | AM 260 (includes 10 inactive stations), FM (probably more than 1,000, mostly unlicensed), shortwave 6 (1998) |
| Radios: | 24.3 million (1997) |
| Television broadcast stations: | 42 (plus 444 repeaters) (1997) |
| Televisions: | 7.95 million (1997) |
| Internet country code: | .ar |
| Internet hosts: | 3.813 million (2008) |
| Internet Service Providers (ISPs): | 33 (2000) |
| Internet users: | 9.309 million (2007) |
