| Communications | Argentina |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 9,530,349 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 22 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 61,897,379 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 140 (2017 est.) |
| Telephone system: | general assessment: Argentina opened its telecommunications market to competition and foreign investment encouraging the growth of modern telecommunications technology in 1998;Â major networks are entirely digital and the availability of telephone service continues to improve to rural areas;Â evenÂ with numerous providers there is a lack of competition;Â still Argentina is the 3rd largest in the region after Brazil and Mexico (2017) |
| Telephone system: | domestic: microwave radio relay, fiber-optic cable, and a domestic satellite system with 40 earth stations serve the trunk network; 22 per 100 fixed-line, 144 per 100 mobile-cellular (2017) |
| Telephone system: | international: country code - 54; landing point for the Atlantis-2, UNISUR, South America-1, and South American Crossing/Latin American Nautilus submarine cable systems that provide links to Europe, Africa, South and Central America, and US; satellite earth stations - 112; 2 international gateways near Buenos Aires;Â building started on the ARBR submarine cable between Argentina and Brazil (2017) |
| Broadcast media: | government owns a TV station and radio network; more than 2 dozen TV stations and hundreds of privately owned radio stations; high rate of cable TV subscription usage (2009) |
| Internet country code: | .ar |
| Internet users: | total: 30,786,889 (July 2016 est.) |
| Internet users: | percent of population: 70.2% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 7,870,222 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 18 (2017 est.) |
