| Communications | Egypt |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 6,604,849 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 7 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 102,958,194 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 106 (2017 est.) |
| Telephone system: | general assessment: largest fixed-line system in Africa and the Arab region; multiple mobile-cellular networks with a 100-percent penetration of the market; Telecom EgyptÂ is mostlyÂ state owned; principal centers at Alexandria, Cairo, Al Mansurah, Ismailia, Suez, and Tanta are connected by coaxial cable and microwave radio relay; launch of LTE in late 2017 greatlyÂ helped the capabilities of mobile broadband services and will continue to do soÂ for future development (2017) |
| Telephone system: | domestic: fixed-line 7 per 100, mobile-cellularÂ 106 per 100 (2017) |
| Telephone system: | international: country code - 20; landing point for Aletar, the SEA-ME-WE-3 and SEA-ME-WE-4 submarine cable networks, Link Around the Globe (FLAG) Falcon and FLAG FEA; satellite earth stations - 4 (2 Intelsat - Atlantic Ocean and Indian Ocean, 1 Arabsat, and 1 Inmarsat); tropospheric scatter to Sudan; microwave radio relay to Israel; a participant in Medarabtel; MENA subsea cable came into commercial use in late 2015, augmenting the country's considerable international bandwidth (2017) |
| Broadcast media: | mix of state-run and private broadcast media; state-run TV operates 2 national and 6 regional terrestrial networks, as well as a few satellite channels; dozens of private satellite channels and a large number of Arabic satellite channels are available for free; some limited satellite services are also available via subscription; state-run radio operates about 30 stations belonging to 8 networks (2018) |
| Internet country code: | .eg |
| Internet users: | total: 37,122,537 (July 2016 est.) |
| Internet users: | percent of population: 39.2% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 5,223,311 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 5 (2017 est.) |
| Communications - note: | one of the largest and most famous libraries in the ancient world was the Great Library of Alexandria in Egypt (founded about 295 B.C., it may have survived in some form into the 5th century A.D.); seeking to resurrect the great center of learning and communication, the Egyptian Government in 2002 inaugurated the Bibliotheca Alexandrina, an Egyptian National Library on the site of the original Great Library, which commemorates the original archive and also serves as a center of cultural and scientific excellence |
