| Communications | Egypt |
| --- | --- |
| Telephones - main lines in use: | 8.557 million (2012) |
| Telephones - mobile cellular: | 96.8 million (2012) |
| Telephone system: | general assessment: underwent extensive upgrading during 1990s; principal centers at Alexandria, Cairo, Al Mansurah, Ismailia, Suez, and Tanta are connected by coaxial cable and microwave radio relay |
| Telephone system: | domestic: largest fixed-line system in the region; as of 2011 there were multiple mobile-cellular networks with a total of roughly 83 million subscribers |
| Telephone system: | international: country code - 20; landing point for Aletar, the SEA-ME-WE-3 and SEA-ME-WE-4 submarine cable networks, Link Around the Globe (FLAG) Falcon and FLAG FEA; satellite earth stations - 4 (2 Intelsat - Atlantic Ocean and Indian Ocean, 1 Arabsat, and 1 Inmarsat); tropospheric scatter to Sudan; microwave radio relay to Israel; a participant in Medarabtel (2011) |
| Broadcast media: | mix of state-run and private broadcast media; state-run TV operates 2 national and 6 regional terrestrial networks as well as a few satellite channels; about 20 private satellite channels and a large number of Arabic satellite channels are available via subscription; state-run radio operates about 70 stations belonging to 8 networks; 2 privately owned radio stations operational (2008) |
| Internet country code: | .eg |
| Internet hosts: | 200,430 (2012) |
| Internet users: | 20.136 million (2009) |
