| Communications | Bolivia |
| --- | --- |
| Telephones - main lines in use: | 848,200 (2010) |
| Telephones - mobile cellular: | 7.179 million (2010) |
| Telephone system: | general assessment: Bolivian National Telecommunications Company (ENTEL) was privatized in 1995 but re-nationalized in 2007; the primary trunk system is being expanded and employs digital microwave radio relay; some areas are served by fiber-optic cable; system operations, reliability, and coverage have steadily improved. |
| Telephone system: | domestic: most telephones are concentrated in La Paz, Santa Cruz, and other capital cities; mobile-cellular telephone use expanding rapidly and, in 2010, teledensity reached about 75 per 100 persons |
| Telephone system: | international: country code - 591; satellite earth station - 1 Intelsat (Atlantic Ocean) (2010) |
| Broadcast media: | large number of radio and television broadcasting stations with private media outlets dominating; state-owned and private radio and television stations generally operating freely, although both pro-government and anti-government groups have attacked media outlets in response to their reporting (2010) |
| Internet country code: | .bo |
| Internet hosts: | 125,462 (2010) |
| Internet users: | 1.103 million (2009) |
