| Communications | Bolivia |
| --- | --- |
| Telephones - main lines in use: | 879,000 (2011) |
| Telephones - mobile cellular: | 8.355 million (2011) |
| Telephone system: | general assessment: Bolivian National Telecommunications Company was privatized in 1995 but re-nationalized in 2007; the primary trunk system is being expanded and employs digital microwave radio relay; some areas are served by fiber-optic cable; system operations, reliability, and coverage have steadily improved. |
| Telephone system: | domestic: most telephones are concentrated in La Paz, Santa Cruz, and other capital cities; mobile-cellular telephone use expanding rapidly and, in 2011, teledensity reached about 80 per 100 persons |
| Telephone system: | international: country code - 591; satellite earth station - 1 Intelsat (Atlantic Ocean) (2011) |
| Broadcast media: | large number of radio and TV stations broadcasting with private media outlets dominating; state-owned and private radio and TV stations generally operating freely, although both pro-government and anti-government groups have attacked media outlets in response to their reporting (2010) |
| Internet country code: | .bo |
| Internet hosts: | 180,988 (2012) |
| Internet users: | 1.103 million (2009) |
