| Communications | PERU |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3.03 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 10 (2014 est.) |
| Telephones - mobile cellular: | total: 31.7 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 105 (2014 est.) |
| Telephone system: | general assessment: adequate for most requirements; nationwide microwave radio relay system and a domestic satellite system with 12 earth stations |
| Telephone system: | domestic: fixed-line teledensity is only about 12 per 100 persons; mobile-cellular teledensity, spurred by competition among multiple providers, exceeds 100 telephones per 100 persons |
| Telephone system: | international: country code - 51; the South America-1 (SAM-1) and Pan American (PAN-AM) submarine cable systems provide links to parts of Central and South America, the Caribbean, and US; satellite earth stations - 2 Intelsat (Atlantic Ocean) (2010) |
| Broadcast media: | 10 major TV networks of which only one, Television Nacional de Peru, is state owned; multi-channel cable TV services are available; in excess of 2,000 radio stations including a substantial number of indigenous language stations (2010) |
| Radio broadcast stations: | AM 472, FM 198, shortwave 189 (1999) |
| Television broadcast stations: | 13 (plus 112 repeaters) (1997) |
| Internet country code: | .pe |
| Internet users: | total: 12.3 million |
| Internet users: | percent of population: 40.9% (2014 est.) |
