| Communications | Bangladesh |
| --- | --- |
| Telephones - main lines in use: | 1.39 million (2009) |
| Telephones - mobile cellular: | 45.75 million (2009) |
| Telephone system: | general assessment: inadequate for a modern country; fixed-line telephone density remains less than 1 per 100 persons; mobile-cellular telephone subscribership has been increasing rapidly and has reached 30 per 100 persons |
| Telephone system: | domestic: modernizing; introducing digital systems; trunk systems include VHF and UHF microwave radio relay links, and some fiber-optic cable in cities |
| Telephone system: | international: country code - 880; landing point for the SEA-ME-WE-4 fiber-optic submarine cable system that provides links to Europe, the Middle East, and Asia; satellite earth stations - 6; international radiotelephone communications and landline service to neighboring countries (2008) |
| Radio broadcast stations: | AM 15, FM 13, shortwave 2 (2006) |
| Television broadcast stations: | 15 (1999) |
| Internet country code: | .bd |
| Internet hosts: | 4,209 (2009) |
| Internet users: | 556,000 (2008) |
