| Communications | Laos |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,526,232 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 20.79 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 4,466,375 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 60.84 (2019 est.) |
| Telecommunication systems: | general assessment: the government relies on a radiotelephone network to communicate with remote areas; theÂ regulatory reform is below industry standards but is trying to strengthen its telecommunication infrastructure and subsequently attract foreign investment; low fixed-broadband penetration due to dominance of mobile platforms; strong boost in mobile broadband penetration but still low compared to other Asian markets;Â mobile sector growth held back by regulators trying to keep hold on pricing and open competition; development of mobile broadband Internet services given the expansion ofÂ 4G services (2020) |
| Telecommunication systems: | domestic: fixed-line 21 per 100 and 61 per 100 for mobile-cellular subscriptions (2019) |
| Telecommunication systems: | international: country code - 856; satellite earth station - 1 Intersputnik (Indian Ocean region) and a second to be developed by China |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 6 TV stations operating out of Vientiane - 3 government-operated and the others commercial; 17 provincial stations operating with nearly all programming relayed via satellite from the government-operated stations in Vientiane; Chinese and Vietnamese programming relayed via satellite from Lao National TV; broadcasts available from stations in Thailand and Vietnam in border areas; multi-channel satellite and cable TV systems provide access to a wide range of foreign stations; state-controlled radio with state-operated Lao National Radio (LNR) broadcasting on 5 frequencies - 1 AM, 1 SW, and 3 FM; LNR's AM and FM programs are relayed via satellite constituting a large part of the programming schedules of the provincial radio stations; Thai radio broadcasts available in border areas and transmissions of multiple international broadcasters are also accessible |
| Internet country code: | .la |
| Internet users: | total: 1,845,437 |
| Internet users: | percent of population: 25.51% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 45,379 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 1 less than 1 (2018 est.) |
