| Communications | Laos |
| --- | --- |
| Telephones - main lines in use: | 132,200 (2009) |
| Telephones - mobile cellular: | 3.235 million (2009) |
| Telephone system: | general assessment: service to general public is poor but improving; the government relies on a radiotelephone network to communicate with remote areas |
| Telephone system: | domestic: multiple service providers; mobile cellular usage growing very rapidly |
| Telephone system: | international: country code - 856; satellite earth station - 1 Intersputnik (Indian Ocean region) and a second to be developed by China (2008) |
| Broadcast media: | 2 television stations operating out of Vientiane - 1 government-operated and the other jointly-owned by the government and a Thai company; roughly 15 provincial stations operating with nearly all programming relayed via satellite from the government-operated station in Vientiane; relays from Hanoi provide access to a Vietnamese television station; broadcasts available from stations in Thailand and Vietnam in border areas; multi-channel satellite and cable TV systems provide access to a wide range of foreign stations; state-controlled radio with state-operated Lao National Radio (LNR) broadcasting on 5 frequencies - 1 AM, 2 SW, and 2 FM; LNR's AM and FM programs are relayed via satellite constituting a large part of the programming schedules of the provincial radio stations; Thai radio broadcasts available in border areas and transmissions of multiple international broadcasters are also accessible (2008) |
| Internet country code: | .la |
| Internet hosts: | 1,468 (2010) |
| Internet users: | 300,000 (2009) |
