| Communications | Malawi |
| --- | --- |
| Telephones - main lines in use: | 227,300 (2012) |
| Telephones - mobile cellular: | 4.42 million (2012) |
| Telephone system: | general assessment: rudimentary; privatization of Malawi Telecommunications (MTL), a necessary step in bringing improvement to telecommunications services, completed in 2006 |
| Telephone system: | domestic: limited fixed-line subscribership of about 1 per 100 persons; mobile-cellular services are expanding but network coverage is limited and is based around the main urban areas; mobile-cellular subscribership about 25 per 100 persons |
| Telephone system: | international: country code - 265; satellite earth stations - 2 Intelsat (1 Indian Ocean, 1 Atlantic Ocean) (2010) |
| Broadcast media: | radio is the main broadcast medium; privately-owned Zodiac radio has the widest national broadcasting reach, followed by state-run radio; about a dozen private and community radio stations broadcast in cities and towns around the country; the largest TV network is government-owned, but two private TV networks now broadcast in urban areas and more plan to begin broadcasting in 2014; relays of multiple international broadcasters are available (2014) |
| Internet country code: | .mw |
| Internet hosts: | 1,099 (2012) |
| Internet users: | 716,400 (2009) |
