| Communications | Malawi |
| --- | --- |
| Telephones - main lines in use: | 175,000 (2009) |
| Telephones - mobile cellular: | 2.4 million (2009) |
| Telephone system: | general assessment: rudimentary; privatization of Malawi Telecommunications (MTL), a necessary step in bringing improvement to telecommunications services, completed in 2006 |
| Telephone system: | domestic: limited fixed-line subscribership of about 1 per 100 persons; mobile-cellular services are expanding but network coverage is limited and is based around the main urban areas; mobile-cellular subscribership about 15 per 100 persons |
| Telephone system: | international: country code - 265; satellite earth stations - 2 Intelsat (1 Indian Ocean, 1 Atlantic Ocean) (2009) |
| Broadcast media: | radio is the main broadcast medium; state-run radio has the widest geographic broadcasting reach, but about a dozen privately-owned radio stations broadcast in major urban areas; the single television network is government-owned; relays of multiple international broadcasters are available (2007) |
| Internet country code: | .mw |
| Internet hosts: | 870 (2010) |
| Internet users: | 716,400 (2009) |
