| Communications | CAMEROON |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1.05 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 5 (2014 est.) |
| Telephones - mobile cellular: | total: 17.3 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 75 (2014 est.) |
| Telephone system: | general assessment: system includes cable, microwave radio relay, and tropospheric scatter; Camtel, the monopoly provider of fixed-line service, provides connections for only about 3 per 100 persons; equipment is old and outdated, and connections with many parts of the country are unreliable |
| Telephone system: | domestic: mobile-cellular usage, in part a reflection of the poor condition and general inadequacy of the fixed-line network, has increased sharply, reaching a subscribership base of 50 per 100 persons |
| Telephone system: | international: country code - 237; landing point for the SAT-3/WASC fiber-optic submarine cable that provides connectivity to Europe and Asia; satellite earth stations - 2 Intelsat (Atlantic Ocean) (2011) |
| Broadcast media: | government maintains tight control over broadcast media; state-owned Cameroon Radio Television (CRTV), broadcasting on both a TV and radio network, was the only officially recognized and fully licensed broadcaster until August 2007, when the government finally issued licenses to 2 private TV broadcasters and 1 private radio broadcaster; about 70 privately owned, unlicensed radio stations operating but are subject to closure at any time; foreign news services required to partner with state-owned national station (2007) |
| Radio broadcast stations: | AM 2, FM 9, shortwave 3 (2001) |
| Television broadcast stations: | 1 (2001) |
| Internet country code: | .cm |
| Internet users: | total: 1.5 million |
| Internet users: | percent of population: 6.5% (2014 est.) |
