| Communications | Kyrgyzstan |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 275,311 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 4.66 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 7,940,306 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 134.4 (2019 est.) |
| Telecommunication systems: | general assessment: fixed-line phones declining quickly by roll-out of 4G LTE mobile networks; digital radio-relay stations, and fiber-optic links; low fixed-line and fixed-broadband penetration andÂ moderate mobile broadband penetration; international connectivity continues to grow; 4 mobile networks in operation; 4G networks cover over 50% of the nation, eventually 5G networks will be available (2020 ) |
| Telecommunication systems: | domestic: fixed-line penetration 5 per 100 persons remains low and concentrated in urban areas; mobile-cellular subscribership up to over 134 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 996; connections with other CIS (Commonwealth of Independent States, 9 members post-Soviet Republics in EU) countries by landline or microwave radio relay and with other countries by leased connections with Moscow international gateway switch and by satellite; satellite earth stations - 2 (1 Intersputnik, 1 Intelsat) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | state-funded public TV broadcaster KTRK has nationwide coverage; also operates Ala-Too 24 news channel which broadcasts 24/7 andÂ 4 other educational, cultural, and sports channels; ELTR and Channel 5 areÂ state-owned stations with national reach; the switchover to digital TV in 2017 resulted in private TV station growth; approximately 20 stations are struggling to increase their own content up to 50% of airtime, as required by law, instead of rebroadcasting primarilyÂ programs from Russian channelsÂ or airing unlicensed movies and music; 3 Russian TV stations also broadcast; state-funded radio stations and about 10 significant private radio stations also exist (2019) |
| Internet country code: | .kg |
| Internet users: | total: 2,222,732 |
| Internet users: | percent of population: 38% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 355,640 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 6 (2018 est.) |
