| Communications | SAINT KITTS AND NEVIS |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 19,748 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 38 (July 2015 est.) |
| Telephones - mobile cellular: | total: 73,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 141 (July 2015 est.) |
| Telephone system: | general assessment: good interisland and international connections |
| Telephone system: | domestic: interisland links via ECFS; construction of enhanced wireless infrastructure launched in November 2004; fixed-line teledensity about 40 per 100 persons; mobile-cellular teledensity is roughly 140 per 100 persons |
| Telephone system: | international: country code - 1-869; connected internationally by the East ECFS and Southern Caribbean Fiber submarine cables (2015) |
| Broadcast media: | the government operates a national TV network that broadcasts on 2 channels; cable subscription services provide access to local and international channels; the government operates a national radio network; a mix of government-owned and privately owned broadcasters operate roughly 15 radio stations (2007) |
| Internet country code: | .kn |
| Internet users: | total: 39,000 |
| Internet users: | percent of population: 75.7% (July 2015 est.) |
