| Communications | Saint Kitts and Nevis |
| --- | --- |
| Telephones - main lines in use: | 20,500 (2009) |
| Telephones - mobile cellular: | 83,000 (2009) |
| Telephone system: | general assessment: good interisland and international connections |
| Telephone system: | domestic: interisland links via Eastern Caribbean Fiber Optic cable; construction of enhanced wireless infrastructure launched in November 2004 |
| Telephone system: | international: country code - 1-869; connected internationally by the East Caribbean Fiber Optic System (ECFS) and Southern Caribbean fiber optic system (SCF) submarine cables |
| Broadcast media: | the government operates a national television network that broadcasts on 2 channels; cable subscription services provide access to local and international channels; the government operates a national radio network; a mix of government-owned and privately-owned broadcasters operate roughly 15 radio stations (2007) |
| Internet country code: | .kn |
| Internet hosts: | 51 (2010) |
| Internet users: | 17,000 (2009) |
