| Communications | Saint Kitts and Nevis |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 17,293 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 33 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 76,878 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 146 (2017 est.) |
| Telephone system: | general assessment: good interisland and international connections; broadband access; expanded FttP (Fiber to the Home) and LTE markets; regulatory development (2018) |
| Telephone system: | domestic: interisland links via ECFS;Â fixed-line teledensity about 33 per 100 persons; mobile-cellular teledensity is roughly 146 per 100 persons (2018) |
| Telephone system: | international: country code - 1-869; landing points forÂ the ECFS, Southern Caribbean Fiber and the SSCSÂ submarine cables providing connectivity for numerous Caribbean Islands (2019) |
| Broadcast media: | the government operates a national TV network that broadcasts on 2 channels; cable subscription services provide access to local and international channels; the government operates a national radio network; a mix of government-owned and privately owned broadcasters operate roughly 15 radio stations |
| Internet country code: | .kn |
| Internet users: | total: 39,000 |
| Internet users: | percent of population: 75.7% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 16,400 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 31 (2017 est.) |
