| Communications | Albania |
| --- | --- |
| Telephones - main lines in use: | 120,000 (2001) |
| Telephones - mobile cellular: | 250,000 (2001) |
| Telephone system: | general assessment: Albania has the poorest telephone service in Europe with fewer than two telephones per 100 inhabitants; it is doubtful that every village has telephone service |
| Telephone system: | domestic: obsolete wire system; no longer provides a telephone for every village; in 1992, following the fall of the Communist government, peasants cut the wire to about 1,000 villages and used it to build fences |
| Telephone system: | international: inadequate; international traffic carried by microwave radio relay from the Tirana exchange to Italy and Greece |
| Radio broadcast stations: | AM 13, FM 4, shortwave 2 (2001) |
| Radios: | 1 million (2001) |
| Television broadcast stations: | 3 (plus 58 repeaters) (2001) |
| Televisions: | 700,000 (2001) |
| Internet country code: | .al |
| Internet Service Providers (ISPs): | 10 (2001) |
| Internet users: | 12,000 (2001) |
