| Communications | Albania |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 258,474 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 8.43 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 2,799,066 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 91.29 (2019 est.) |
| Telecommunication systems: | general assessment: mobile-cellular phone service has been available since 1996 andÂ dominatesÂ over fixed-line capacity;Â Internet broadband services initiated in 2005 and the governmentÂ continues to supports the improvement ofÂ broadband availability and access conditions;Â Albania has received financial aid to build its infrastructure andÂ works towards the EU accession process,Â an adherence to careful scrutiny of its regulatory regime helpsÂ the telecom sector advance; Internet cafes are popular in major urban areas; 1.3 million use mobile broadband services (3G/4G) (2020) |
| Telecommunication systems: | domestic: fixed-line 8 per 100, teledensity continues to decline due to heavy use of mobile-cellular telephone services; mobile-cellular telephone use is widespread and generally effective, 91 per 100 for mobile-cellular (2019) |
| Telecommunication systems: | international: country code - 355; submarine cablesÂ for the Adria 1 and Italy-Albania provide connectivity to Italy, Croatia, and Greece; a combination submarine cable and land fiber-optic system, provides additional connectivity to Bulgaria, Macedonia, and Turkey; international traffic carried by fiber-optic cable and, when necessary, by microwave radio relay from the Tirana exchange to Italy and Greece (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | Albania has more than 65 TV stations, including several that broadcast nationally; Albanian TV broadcasts are also available to Albanian-speaking populations in neighboring countries; many viewers have access to Italian and Greek TV broadcasts via terrestrial reception; Albania's TV stations have begun a government-mandated conversion from analog to digital broadcast; the government has pledged to provide analog-to-digital converters to low-income families affected by this decision; cable TV service is available; 2 public radio networks and roughly 78 private radio stations; several international broadcasters are available (2019) |
| Internet country code: | .al |
| Internet users: | total: 2,196,613 |
| Internet users: | percent of population: 71.85% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 361,947 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 12 (2018 est.) |
