| Communications | Saint Helena, Ascension, and Tristan da Cunha |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 576 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 35 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 3,018 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 39 (July 2016 est.) |
| Telephone system: | general assessment: can communicate worldwide; ADSL- broadband service; LTE service; Wi-Fi hotspots in Jamestown, 1 ISP, many services are not offered locally but made available for visitors (2018) |
| Telephone system: | domestic: automatic digital network; fixed-line 35 per 100 and moblie-cellular 39 per 100 persons (2018) |
| Telephone system: | international: country code (Saint Helena) - 290, (Ascension Island) - 247; landing point for the SaEx1 submarine cable providing connectivity to South Africa, Brazil, Virginia Beach (US) and islands in Saint Helena, Ascension and Tristan de Cunha; international direct dialing; satellite voice and data communications; satellite earth stations - 5 (Ascension Island - 4, Saint Helena - 1) (2019) |
| Broadcast media: | Saint Helena has no local TV station; 2 local radio stations, one of which is relayed to Ascension Island; satellite TV stations rebroadcast terrestrially; Ascension Island has no local TV station but has 1 local radio station and receives relays of broadcasts from 1 radio station on Saint Helena; broadcasts from the British Forces Broadcasting Service (BFBS) are available, as well as TV services for the US military; Tristan da Cunha has 1 local radio station and receives BFBS TV and radio broadcasts |
| Internet country code: | .sh; note - Ascension Island assigned .ac |
| Internet users: | total: 1,800 |
| Internet users: | percent of population: 23.1% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 1,347 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 17 (2017 est.) |
| Communications - note: | Ascension Island hosts one of four dedicated ground antennas that assist in the operation of the Global Positioning System (GPS) navigation system (the others are on Diego Garcia (British Indian Ocean Territory), Kwajalein (Marshall Islands), and at Cape Canaveral, Florida (US)); South Africa maintains a meteorological station on Gough Island in the Tristan da Cunha archipelago |
