| Communications | Belgium |
| --- | --- |
| Telephones - main lines in use: | 4.457 million (2008) |
| Telephones - mobile cellular: | 11.822 million (2008) |
| Telephone system: | general assessment: highly developed, technologically advanced, and completely automated domestic and international telephone and telegraph facilities |
| Telephone system: | domestic: nationwide cellular telephone system; extensive cable network; limited microwave radio relay network |
| Telephone system: | international: country code - 32; landing point for a number of submarine cables that provide links to Europe, the Middle East, and Asia; satellite earth stations - 7 (Intelsat - 3) (2007) |
| Radio broadcast stations: | AM 7, FM 79, shortwave 1 (1998) |
| Television broadcast stations: | 25 (plus 10 repeaters) (1997) |
| Internet country code: | .be |
| Internet hosts: | 4.367 million (2009) |
| Internet users: | 7.292 million (2008) |
