| Communications | Rwanda |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 11,215 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 9,531,609 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 76.49 (2019 est.) |
| Telecommunication systems: | general assessment: govt. invests in smart city infrastructure; expanding wholesale LTE services; govt. launches SIM card registration; growing economy and foreign aid help launch telecom sector, despite widespread poverty; slow to liberalize mobile sector; competing operators roll out national fiber optic backbone that connects to submarine cables of neighboring countries endingÂ expensive dependence on satellite (2020) |
| Telecommunication systems: | domestic: the capital, Kigali, is connected to provincial centers by microwave radio relay, and recently by cellular telephone service; much of the network depends on wire and HF radiotelephone; fixed-line less than 1 per 100 and mobile-cellular telephone density has increased to 76 telephones per 100 persons (2019) |
| Telecommunication systems: | international: country code - 250; international connections employ microwave radio relay to neighboring countries and satellite communications to more distant countries; satellite earth stations - 1 Intelsat (Indian Ocean) in Kigali (includes telex and telefax service); international submarine fiber-optic cables on the African east coast has brought international bandwidth and lessened theÂ dependency on satellites |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 13 TV stations; 35 radio stations registered, including international broadcasters, government owns most popular TV and radio stations; regional satellite-based TV services available |
| Internet country code: | .rw |
| Internet users: | total: 2,653,197 |
| Internet users: | percent of population: 21.77% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 7,501 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2018 est.) |
