| Communications | RWANDA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 49,600 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2014 est.) |
| Telephones - mobile cellular: | total: 7.7 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 63 (2014 est.) |
| Telephone system: | general assessment: small, inadequate telephone system primarily serves business, education, and government |
| Telephone system: | domestic: the capital, Kigali, is connected to provincial centers by microwave radio relay and, recently, by cellular telephone service; much of the network depends on wire and HF radiotelephone; combined fixed-line and mobile-cellular telephone density has increased and now exceeds 40 telephones per 100 persons |
| Telephone system: | international: country code - 250; international connections employ microwave radio relay to neighboring countries and satellite communications to more distant countries; satellite earth stations - 1 Intelsat (Indian Ocean) in Kigali (includes telex and telefax service) (2010) |
| Broadcast media: | government owns and operates the only TV station; government-owned and operated Radio Rwanda has a national reach; 9 private radio stations; transmissions of multiple international broadcasters are available (2007) |
| Radio broadcast stations: | AM 0, FM 10 (two main FM programs are broadcast through a system of repeaters; international FM programming includes the BBC, VOA, and Deutchewelle) (2007) |
| Television broadcast stations: | 2 (2004) |
| Internet country code: | .rw |
| Internet users: | total: 1.1 million |
| Internet users: | percent of population: 9.2% (2014 est.) |
