| Communications |
| --- | --- |
| Telephones - main lines in use: | 50,074; however, 80,868 main lines were installed (1998) |
| Telephones - mobile cellular: | 9,000 (1998) |
| Telephone system: | general assessment: seriously inadequate; two cellular systems have been introduced, but a sharp increase in the number of main lines is essential; e-mail and Internet services are available |
| Telephone system: | domestic: intercity traffic by wire, microwave radio relay, and radiotelephone communication stations, fixed and mobile cellular systems for short range traffic |
| Telephone system: | international: satellite earth stations - 1 Intelsat (Atlantic Ocean) and 1 Inmarsat; analog links to Kenya and Tanzania |
| Radio broadcast stations: | AM 19, FM 4, shortwave 5 (1998) |
| Radios: | 2.6 million (1997) |
| Television broadcast stations: | 8 (plus one low-power repeater) (1999) |
| Televisions: | 315,000 (1997) |
| Internet country code: | .ug |
| Internet Service Providers (ISPs): | 2 (2000) |
| Internet users: | 25,000 (2000) |
