| Communications | Uganda |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 262,286 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 24,948,878 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 63 (2017 est.) |
| Telephone system: | general assessment: in recent years, telecommunications infrastructure has developed through private partnerships; private companies have laid over 1,800 km of fiber optics in Uganda since 2015; as of 2018, fixed fiber backbone infrastructure is available in over half of Ugandaâ€™s districts; mobile phone companies now provide 4G networks across all major cities and national parks, while offering 3G coverage in second-tier cities and most rural areas with road access; between 2016 and 2018, commercial Internet services dropped in price from $300/Mbps to $80/Mbps. (2018) |
| Telephone system: | domestic: intercity traffic by wire, microwave radio relay, and radiotelephone communication stations, fixed-lineÂ 1 per 100 and mobile- cellular systemsÂ Â teledensity about 63 per 100 persons (2018) |
| Telephone system: | international: country code - 256; satellite earth stations - 1 Intelsat (Atlantic Ocean) and 1 Inmarsat; analog and digital links to Kenya and Tanzania |
| Broadcast media: | public broadcaster, Uganda Broadcasting Corporation (UBC), operates radio and TV networks; 31 Free-To-Air (FTA) TV stations, 2 digital terrestrial TV stations, 3 cable TV stations, and 5 digital satellite TV stations; 258 operational FM stations |
| Internet country code: | .ug |
| Internet users: | total: 18,148,923 |
| Internet users: | percent of population: 45.9% (September 2017) |
| Broadband - fixed subscriptions: | total: 145,765 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
