| Communications | Timor-Leste |
| --- | --- |
| Telephones - main lines in use: | 2,500 (2006) |
| Telephones - mobile cellular: | 49,100 (2006) |
| Telephone system: | general assessment: rudimentary service limited to urban areas |
| Telephone system: | domestic: fixed and wireless service available; system suffered significant damage during the violence associated with independence |
| Telephone system: | international: country code - 670; international service is available in major urban centers |
| Radio broadcast stations: | at least 1 (Timor-Leste has a state-run media oversight authority that oversees at least 1 radio station - frequency type NA) |
| Radios: | NA |
| Television broadcast stations: | 1 (Timor-Leste has a state-run media oversight authority that oversees at least 1 television station) |
| Televisions: | NA |
| Internet country code: | .tl; note - ICANN approved the change from .tp in January 2005 |
| Internet hosts: | 94 (2007) |
| Internet Service Providers (ISPs): | NA |
| Internet users: | 1,000 (2004) |
