| Communications | Timor-Leste |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2,364 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 1,546,624 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 120 (2017 est.) |
| Telephone system: | general assessment: rudimentary service in urban and some rural areas, which is expanding with the entrance of new competitors; 3G LTE service, with about 97% of population having access,Â among 3 mobile operators;Â increase in mobile broadband penetration (2018) |
| Telephone system: | domestic: system suffered significant damage during the violence associated with independence; limited fixed-line services; less than 1 per 100 and Â mobile-cellular services have been expanding and are now available in urban and most rural areas with teledensity of 120 per 100 (2018) |
| Telephone system: | international: country code - 670; international service is available;Â geostationary earth orbit satellite agreement in the works |
| Broadcast media: | 7 TV stations (3 nationwide satellite coverage;Â 2 terrestrial coverage, mostly in Dili; 2 cable) and 21 radio stations (3 nationwide coverage) (2019) |
| Internet country code: | .tl |
| Internet users: | total: 318,373 |
| Internet users: | percent of population: 25.2% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 3,346 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
