| Communications | TIMOR-LESTE |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2,720 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (July 2016 est.) |
| Telephones - mobile cellular: | total: 1,492,124 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 118 (July 2016 est.) |
| Telephone system: | general assessment: rudimentary service in urban and some rural areas, which is expanding with the entrance of new competitors |
| Telephone system: | domestic: system suffered significant damage during the violence associated with independence; limited fixed-line services; mobile-cellular services have been expanding and are now available in urban and most rural areas |
| Telephone system: | international: country code - 670; international service is available (2016) |
| Broadcast media: | 7 TV stations (2 nationwide satellite coverage; 3 terrestrial coverage, mostly in Dili; 2 cable) and 21 radio stations (3 nationwide coverage) (2017) |
| Internet country code: | .tl |
| Internet users: | total: 318,373 |
| Internet users: | percent of population: 25.2% (July 2016 est.) |
