| Communications | FRANCE |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 38.81 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 59 (2014 est.) |
| Telephones - mobile cellular: | total: 64.9 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 98 (2014 est.) |
| Telephone system: | general assessment: highly developed |
| Telephone system: | domestic: extensive cable and microwave radio relay; extensive use of fiber-optic cable; domestic satellite system |
| Telephone system: | international: country code - 33; numerous submarine cables provide links throughout Europe, Asia, Australia, the Middle East, and US; satellite earth stations - more than 3 (2 Intelsat (with total of 5 antennas - 2 for Indian Ocean and 3 for Atlantic Ocean), NA Eutelsat, 1 Inmarsat - Atlantic Ocean region); HF radiotelephone communications with more than 20 countries |
| Telephone system: | overseas departments: country codes: French Guiana - 594; Guadeloupe - 590; Martinique - 596; Mayotte - 262; Reunion - 262 (2011) |
| Broadcast media: | a mix of both publicly operated and privately owned TV stations; state-owned France Televisions operates 4 networks, one of which is a network of regional stations, and has part-interest in several thematic cable/satellite channels and international channels; a large number of privately owned regional and local TV stations; multi-channel satellite and cable services provide a large number of channels; public broadcaster Radio France operates 7 national networks, a series of regional networks, and operates services for overseas territories and foreign audiences; Radio France Internationale (RFI), under the Ministry of Foreign Affairs, is a leading international broadcaster; a large number of commercial FM stations, with many of them consolidating into commercial networks (2008) |
| Radio broadcast stations: | AM 41, FM about 3,500 (this figure is an approximation and includes many repeaters), shortwave 2 (1998) |
| Television broadcast stations: | 584 (plus 9,676 repeaters) (1995) |
| Internet country code: | metropolitan France - .fr; French Guiana - .gf; Guadeloupe - .gp; Martinique - .mq; Mayotte - .yt; Reunion - .re |
| Internet users: | total: 56.8 million |
| Internet users: | percent of population: 85.8% (2014 est.) |
