| Communications | THAILAND |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 5.309 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 8 (July 2015 est.) |
| Telephones - mobile cellular: | total: 84.797 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 125 (July 2015 est.) |
| Telephone system: | general assessment: high quality system, especially in urban areas like Bangkok |
| Telephone system: | domestic: fixed-line system provided by both a government-owned and commercial provider; wireless service expanding rapidly |
| Telephone system: | international: country code - 66; connected to major submarine cable systems providing links throughout Asia, Australia, Middle East, Europe, and US; satellite earth stations - 2 Intelsat (1 Indian Ocean, 1 Pacific Ocean) (2015) |
| Broadcast media: | 6 terrestrial TV stations in Bangkok broadcast nationally via relay stations - 2 of the networks are owned by the military, the other 4 are government-owned or controlled, leased to private enterprise, and all are required to broadcast government-produced news programs twice a day; multi-channel satellite and cable TV subscription services are available; radio frequencies have been allotted for more than 500 government and commercial radio stations; many small community radio stations operate with low-power transmitters (2008) |
| Internet country code: | .th |
| Internet users: | total: 26.726 million |
| Internet users: | percent of population: 39.3% (July 2015 est.) |
