| Communications | Thailand |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2,580,166 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 3.75 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 128,086,321 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 186.16 (2019 est.) |
| Telecommunication systems: | general assessment: high quality system, especially in urban areas like Bangkok; mobile and mobile broadband penetrationÂ are on the increase; Fiber-to-the-home (FttH) has seen strong growth in the majorÂ cities; 4GÂ TD-LTE available and moving to 5G services;Â seven smart cities with the hope of 100 smart cities within its borders in the next two decades; one of the biggest e-commerce markets in Southeast Asia; fixed broadband remains relative compared to other developed Asian telecom markets and with the dominance of the mobile platform (2020) |
| Telecommunication systems: | domestic: fixed-line system provided by both a government-owned and commercial provider; wireless service expanding rapidly; fixed-line 4 per 100 and mobile-cellular 186 per 100 (2019) |
| Telecommunication systems: | international: country code - 66; landing points for the AAE-1, FEA, SeaMeWe-3,-4, APG, SJC2, TIS, MCT and AAG submarine cable systems providing links throughout Asia, Australia, Africa, Middle East, Europe, and US; satellite earth stations - 2 Intelsat (1 Indian Ocean, 1 Pacific Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 26 digital TV stations in Bangkok broadcast nationally, 6 terrestrial TV stations in Bangkok broadcast nationally via relay stations - 2 of the stations are owned by the military, the other 4 are government-owned or controlled, leased to private enterprise, and all are required to broadcast government-produced news programs twice a day; multi-channel satellite and cable TV subscription services are available; radio frequencies have been allotted for more than 500 government and commercial radio stations; many small community radio stations operate with low-power transmitters (2017) |
| Internet country code: | .th |
| Internet users: | total: 38,987,531 |
| Internet users: | percent of population: 56.82% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 9.189 million |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 13 (2018 est.) |
