| Communications | Saint Helena, Ascension, and Tristan da Cunha |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3,921 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 49.93 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 5,228 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 66.58 (2019 est.) |
| Telecommunication systems: | general assessment: capability toÂ communicate worldwide; ADSL- broadband service; LTE coverage of 95% of population, includes voice calls, text messages, mobile data as well as inbound and outbound roaming; Wi-Fi hotspots in Jamestown, 1 ISP, many services are not offered locally but made available for visitors; some sun outages due to the reliance of international telephone and Internet communication relying on single satellite link (2020) |
| Telecommunication systems: | domestic: automatic digital network; fixed-line 50 per 100 and mobile-cellular 67 per 100 persons (2019) |
| Telecommunication systems: | international: country code (Saint Helena) - 290, (Ascension Island) - 247; landing point for the SaEx1 submarine cable providing connectivity to South Africa, Brazil, Virginia Beach (US) and islands in Saint Helena, Ascension and Tristan de Cunha; international direct dialing; satellite voice and data communications; satellite earth stations - 5 (Ascension Island - 4, Saint Helena - 1) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | Saint Helena has no local TV station; 2 local radio stations, one of which is relayed to Ascension Island; satellite TV stations rebroadcast terrestrially; Ascension Island has no local TV station but has 1 local radio station and receives relays of broadcasts from 1 radio station on Saint Helena; broadcasts from the British Forces Broadcasting Service (BFBS) are available, as well as TV services for the US military; Tristan da Cunha has 1 local radio station and receives BFBS TV and radio broadcasts |
| Internet country code: | .sh; note - Ascension Island assigned .ac |
| Internet users: | total: 1,800 |
| Internet users: | percent of population: 23.1% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 1,347 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 17 (2017 est.) |
| Communications - note: | Ascension Island hosts one of four dedicated ground antennas that assist in the operation of the Global Positioning System (GPS) navigation system (the others are on Diego Garcia (British Indian Ocean Territory), Kwajalein (Marshall Islands), and at Cape Canaveral, Florida (US)); South Africa maintains a meteorological station on Gough Island in the Tristan da Cunha archipelago |
