| Communications | NICARAGUA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 340,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 6 (2014 est.) |
| Telephones - mobile cellular: | total: 7.1 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 121 (2014 est.) |
| Telephone system: | general assessment: system being upgraded by foreign investment; nearly all installed telecommunications capacity now uses digital technology, owing to investments since privatization of the formerly state-owned telecommunications company |
| Telephone system: | domestic: since privatization, access to fixed-line and mobile-cellular services has improved; fixed-line teledensity roughly 5 per 100 persons; mobile-cellular telephone subscribership has increased to roughly 85 per 100 persons |
| Telephone system: | international: country code - 505; the Americas Region Caribbean Ring System (ARCOS-1) fiber optic submarine cable provides connectivity to South and Central America, parts of the Caribbean, and the US; satellite earth stations - 1 Intersputnik (Atlantic Ocean region) and 1 Intelsat (Atlantic Ocean) (2011) |
| Broadcast media: | multiple privately owned terrestrial TV networks, supplemented by cable TV in most urban areas; of more than 100 radio stations, nearly all are privately owned; Radio Nicaragua is government-owned and Radio Sandino is controlled by the Sandinista National Liberation Front (FSLN) (2007) |
| Radio broadcast stations: | AM 63, FM 32, shortwave 1 (1998) |
| Television broadcast stations: | 16 (2009) |
| Internet country code: | .ni |
| Internet users: | total: 845,100 |
| Internet users: | percent of population: 14.5% (2014 est.) |
