| Communications | Samoa |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 8,770 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 4.33 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 128,776 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 63.58 (2019 est.) |
| Telecommunication systems: | general assessment: most households have at least one mobile phone; all businesses in the greater Apia area have access to broadband and Wi-Fi, which is reasonably reliable and fast; in rural Upolu and on Savaii Island there is now readily available high-speed Internet and Wi-Fi;Â due to the establishment of a regulatory infrastructure, liberalization and competition of the mobile market the telecom market has increased coverage and reduced cost; 4G LTE servicesÂ accessible to about 95% of residents; working to increase speed, reliability and connectivity (2020) |
| Telecommunication systems: | domestic: fixed-line 4 per 100 and mobile-cellular teledensity 64 telephones per 100 persons (2019) |
| Telecommunication systems: | international: country code - 685; landing points for the Tui-Samo, Manatua, SAS, and Southern Cross NEXT submarine cables providing connectivity to Samoa, Fiji,Â WallisÂ & Futuna, Cook Islands, Niue, French Polynesia, American Samoa, Australia, New Zealand, Kiribati, Los Angeles (US), and Tokelau;Â satellite earth station - 1 Intelsat (Pacific Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | state-owned TV station privatized in 2008; 4 privately owned television broadcast stations; about a half-dozen privately owned radio stations and one state-owned radio station; TV and radio broadcasts of several stations from American Samoa are available (2019) |
| Internet country code: | .ws |
| Internet users: | total: 67,662 |
| Internet users: | percent of population: 33.61% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 1,692 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 1 (2017 est.) |
