| Communications | Romania |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3,731,047 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 17.45 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 25,033,292 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 117.08 (2019 est.) |
| Telecommunication systems: | general assessment: the telecommunications sector is being expanded; domestic and international service improving rapidly, especially mobile-cellular services; competition among a number of telecoms; LTE and 5G services; 1Gb/FttP offering; govt. secures EU funding to extend broadband to areas of the country not yet connected and does away with SIM card registration; operators invest in networks capacity upgrades (2020) |
| Telecommunication systems: | domestic: fixed-line teledensity is about 17 telephones per 100 persons; mobile market served by four mobile network operators; mobile-cellular teledensity over 117 telephones per 100 persons (2019) |
| Telecommunication systems: | international: country code - 40; landing point for the Diamond Link Global submarine cable linking Romania with Georgia; satellite earth stations - 10; digital, international, direct-dial exchanges operate in Bucharest (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | a mixture of public and private TV stations; there are 7 public TV stations (2 national, 5 regional) using terrestrial broadcasting and 187 private TV stations (out of which 171 offer local coverage) using terrestrial broadcasting, plus 11 public TV stations using satellite broadcasting and 86 private TV stations using satellite broadcasting; state-owned public radio broadcaster operates 4 national networks and regional and local stations, having in total 20 public radio stations by terrestrial broadcasting plus 4 public radio stations by satellite broadcasting; there are 502 operational private radio stations using terrestrial broadcasting and 26 private radio stations using satellite broadcasting |
| Internet country code: | .ro |
| Internet users: | total: 15,165,890 |
| Internet users: | percent of population: 70.68% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 5.083 million |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 24 (2018 est.) |
