| Communications | SRI LANKA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2,479,802 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 11 (July 2016 est.) |
| Telephones - mobile cellular: | total: 25,797,199 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 116 (July 2016 est.) |
| Telephone system: | general assessment: telephone services have improved significantly and are available in most parts of the country |
| Telephone system: | domestic: national trunk network consists mostly of digital microwave radio relay; fiber-optic links now in use in Colombo area and fixed wireless local loops have been installed; competition is strong in mobile cellular systems and mobile cellular subscribership is increasing |
| Telephone system: | international: country code - 94; the SEA-ME-WE-3 and SEA-ME-WE-4 submarine cables provide connectivity to Asia, Australia, Middle East, Europe, US; satellite earth stations - 2 Intelsat (Indian Ocean) (2016) |
| Broadcast media: | government operates 5 TV channels and 19 radio channels; multi-channel satellite and cable TV subscription services available; 25 private TV stations and about 43 radio stations; 6 non-profit TV stations and 4 radio stations (2017) |
| Internet country code: | .lk |
| Internet users: | total: 7,126,540 |
| Internet users: | percent of population: 32.1% (July 2016 est.) |
