| Communications | Somalia |
| --- | --- |
| Telephones - main lines in use: | 100,000 (2008) |
| Telephones - mobile cellular: | 627,000 (2008) |
| Telephone system: | general assessment: the public telecommunications system was almost completely destroyed or dismantled during the civil war; private companies offer limited local fixed-line service and private wireless companies offer service in most major cities while charging the lowest international rates on the continent |
| Telephone system: | domestic: local cellular telephone systems have been established in Mogadishu and in several other population centers |
| Telephone system: | international: country code - 252; international connections are available from Mogadishu by satellite (2001) |
| Radio broadcast stations: | AM 0, FM 11 (also 1 station each in Puntland and Somaliland), shortwave 1 (in Mogadishu) (2001) |
| Television broadcast stations: | 4 (2 in Mogadishu and 2 in Hargeisa) (2001) |
| Internet country code: | .so |
| Internet hosts: | 0 (2009) |
| Internet users: | 102,000 (2008) |
