| Communications | Philippines |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 4,163,282 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 4 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 115,824,982 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 111 (2017 est.) |
| Telephone system: | general assessment: good international radiotelephone and submarine cable services; domestic and interisland service adequate; National Broadband Plan to improve connectivity in rural areas underway; 4G available now in some areasÂ with 5GÂ  pilots planned to commence in 2019-2020 (2018) |
| Telephone system: | domestic: telecommunications infrastructure includes the following platforms: fixed line, mobile cellular, cable TV, over-the-air TV, radio and Very Small Aperture Terminal (VSAT), fiber-optic cable, and satellite for redundant international connectivity; fixed-line 4 per 100 and mobile-cellular 111 per 100 (2018) |
| Telephone system: | international: country code - 63; landing points for the NDTN, TGN-IA, AAG, PLCN, EAC-02C, DFON, SJC, APCN-2, SeaMeWe, Boracay-Palawan Submarine Cable System, Palawa-Illoilo Cable System, NDTN, SEA-US, SSSFOIP, ASE and JUPITAR submarine cables that together provide connectivity to the US, Southeast Asia, Asia, Europe, Africa, the Middle East, and Australia (2019) |
| Broadcast media: | multiple national private TV and radio networks; multi-channel satellite and cable TV systems available; more than 400 TV stations; about 1,500 cable TV providers with more than 2 million subscribers, and some 1,400 radio stations; the Philippines adopted Japanâ€™s Integrated Service Digital Broadcast â€“ Terrestrial standard for digital terrestrial television in November 2013 and is scheduled to complete the switch from analog to digital broadcasting by the end of 2023 (2019) |
| Internet country code: | .ph |
| Internet users: | total: 56,956,436 |
| Internet users: | percent of population: 55.5% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 3,399,291 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 3 (2017 est.) |
