| Communications | PHILIPPINES |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3.039 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 3 (July 2015 est.) |
| Telephones - mobile cellular: | total: 120.255 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 119 (July 2015 est.) |
| Telephone system: | general assessment: good international radiotelephone and submarine cable services; domestic and interisland service adequate |
| Telephone system: | domestic: telecommunications infrastructure includes the following platforms: fixed line, mobile cellular, cable TV, over-the-air TV, radio and Very Small Aperture Terminal (VSAT), fiber-optic cable, and satellite for redundant international connectivity |
| Telephone system: | international: country code - 63; a series of submarine cables together provide connectivity to the US, and to countries like Hong Kong, Guam, Singapore, Taiwan, Japan, Brunei, and Malaysia, among others; multiple international gateways (2015) |
| Broadcast media: | multiple national private TV and radio networks; multi-channel satellite and cable TV systems available; more than 350 TV stations - 6 major TV networks operating nationwide with 1 being government owned; about 1,300 cable TV providers with more than 2 million subscribers, and some 1,300 radio stations; the Philippines adopted Japan’s Integrated Service Digital Broadcast – Terrestrial standard for digital terrestrial television in November 2013 and is scheduled to complete the switch from analog to digital broadcasting by the end of 2015 (2015) |
| Internet country code: | .ph |
| Internet users: | total: 41.106 million |
| Internet users: | percent of population: 40.7% (July 2015 est.) |
