| Communications | ZAMBIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 116,165 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1 (July 2015 est.) |
| Telephones - mobile cellular: | total: 11.558 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 77 (July 2015 est.) |
| Telephone system: | general assessment: among the best in sub-Saharan Africa |
| Telephone system: | domestic: high-capacity microwave radio relay connects most larger towns and cities; several cellular telephone services in operation and network coverage is improving; domestic satellite system being installed to improve telephone service in rural areas; Internet service is widely available; very small aperture terminal (VSAT) networks are operated by private firms |
| Telephone system: | international: country code - 260; satellite earth stations - 2 Intelsat (1 Indian Ocean and 1 Atlantic Ocean), 3 owned by Zamtel (2010) |
| Broadcast media: | state-owned Zambia National Broadcasting Corporation (ZNBC) operates 3 TV stations, is the principal local-content provider, and owns about 45% of multi-channel Zambia shares; several private TV stations and multi-channel subscription TV services are available; ZNBC operates 4 radio networks; 64 private radio stations are available (most regionally) and relays of at least 2 international broadcasters — including BBC and Radio France International – are accessible in Lusaka and Kitwe (2015) |
| Internet country code: | .zm |
| Internet users: | total: 3.164 million |
| Internet users: | percent of population: 21% (July 2015 est.) |
