| Communications | ANGOLA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 284,925 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1 (July 2015 est.) |
| Telephones - mobile cellular: | total: 13.885 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 71 (July 2015 est.) |
| Telephone system: | general assessment: limited system; state-owned telecom had monopoly for fixed lines until 2005; demand outstripped capacity, prices were high, and services poor; Telecom Namibia, through an Angolan company, became the first private licensed operator in Angola's fixed-line telephone network; by 2010, the number of fixed-line providers had expanded to 5; Angola Telecom established mobile-cellular service in Luanda in 1993 and the network has been extended to larger towns; a privately owned, mobile-cellular service provider began operations in 2001 |
| Telephone system: | domestic: only about one fixed line per 100 persons; mobile-cellular teledensity about 71 telephones per 100 persons in 2015 |
| Telephone system: | international: country code - 244; landing point for the SAT-3/WASC fiber-optic submarine cable that provides connectivity to Europe and Asia; satellite earth stations - 29 (2015) |
| Broadcast media: | state controls all broadcast media with nationwide reach; state-owned Televisao Popular de Angola (TPA) provides terrestrial TV service on 2 channels; a third TPA channel is available via cable and satellite; TV subscription services are available; state-owned Radio Nacional de Angola (RNA) broadcasts on 5 stations; about a half-dozen private radio stations broadcast locally (2008) |
| Internet country code: | .ao |
| Internet users: | total: 2.434 million |
| Internet users: | percent of population: 12.4% (July 2015 est.) |
