| Communications | COSTA RICA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 859,514 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 18 (July 2015 est.) |
| Telephones - mobile cellular: | total: 7.536 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 157 (July 2015 est.) |
| Telephone system: | general assessment: good domestic telephone service in terms of breadth of coverage |
| Telephone system: | domestic: point-to-point and point-to-multi-point microwave, fiber-optic, and coaxial cable link rural areas; Internet service is available |
| Telephone system: | international: country code - 506; landing points for the Americas Region Caribbean Ring System (ARCOS-1), MAYA-1, and the Pan American Crossing submarine cables that provide links to South and Central America, parts of the Caribbean, and the US; connected to Central American Microwave System; satellite earth stations - 2 Intelsat (Atlantic Ocean) (2015) |
| Broadcast media: | multiple privately owned TV stations and 1 publicly owned TV station; cable network services are widely available; more than 100 privately owned radio stations and a public radio network (2007) |
| Internet country code: | .cr |
| Internet users: | total: 2.877 million |
| Internet users: | percent of population: 59.8% (July 2015 est.) |
