| Communications | BARBADOS |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 156,857 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 54 (July 2015 est.) |
| Telephones - mobile cellular: | total: 335,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 115 (July 2015 est.) |
| Telephone system: | general assessment: island-wide automatic telephone system |
| Telephone system: | domestic: fixed-line teledensity of roughly 55 per 100 persons; mobile-cellular telephone density about 115 per 100 persons |
| Telephone system: | international: country code - 1-246; landing point for the East Caribbean Fiber System (ECFS) submarine cable with links to 13 other islands in the eastern Caribbean extending from the British Virgin Islands to Trinidad; satellite earth stations - 1 (Intelsat - Atlantic Ocean); tropospheric scatter to Trinidad and Saint Lucia (2015) |
| Broadcast media: | government-owned Caribbean Broadcasting Corporation (CBC) operates the lone terrestrial TV station; CBC also operates a multi-channel cable TV subscription service; roughly a dozen radio stations, consisting of a CBC-operated network operating alongside privately owned radio stations (2007) |
| Internet country code: | .bb |
| Internet users: | total: 221,000 |
| Internet users: | percent of population: 76.1% (July 2015 est.) |
