| Communications | British Virgin Islands |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 10,004 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 29 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 42,000 (July 2016 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 126 (July 2016 est.) |
| Telephone system: | general assessment: good overall telephone service; majorÂ expansion sectors include the mobile telephony and data segments, which continue toÂ appeal toÂ operator investment;Â several operators licensed to provide services within individual markets, most of them are small and localised (2017) |
| Telephone system: | domestic: fixed-line connections exceedÂ 29 per 100 persons and mobile cellular subscribership is roughly 125 per 100 persons (2017) |
| Telephone system: | international: country code - 1-284; connected via submarine cable to Bermuda; the East Caribbean Fiber System (ECFS) submarine cable provides connectivity to 13 other islands in the eastern Caribbean |
| Broadcast media: | 1 private TV station; multi-channel TV is available from cable and satellite subscription services; about a half-dozen private radio stations (2007) |
| Internet country code: | .vg |
| Internet users: | total: 14,600 (July 2016 est.) |
| Internet users: | percent of population: 43.6% (July 2016 est.) |
