| Communications | EQUATORIAL GUINEA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 15,100 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 2 (2014 est.) |
| Telephones - mobile cellular: | total: 516,500 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 72 (2014 est.) |
| Telephone system: | general assessment: digital fixed-line network in most major urban areas and good mobile cellular coverage |
| Telephone system: | domestic: fixed-line density is about 2 per 100 persons; mobile-cellular subscribership has been increasing and in 2011 stood at about 60 percent of the population |
| Telephone system: | international: country code - 240; international communications from Bata and Malabo to African and European countries; satellite earth station - 1 Intelsat (Indian Ocean) (2011) |
| Broadcast media: | state maintains control of broadcast media with domestic broadcast media limited to 1 state-owned TV station, 1 private TV station owned by the president's eldest son, 1 state-owned radio station, and 1 private radio station owned by the president's eldest son; satellite TV service is available; transmissions of multiple international broadcasters are accessible (2013) |
| Radio broadcast stations: | AM 0, FM 3, shortwave 5 (2001) |
| Television broadcast stations: | 1 (2001) |
| Internet country code: | .gq |
| Internet users: | total: 115,100 |
| Internet users: | percent of population: 15.9% (2014 est.) |
