| Communications | Venezuela |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 547,291 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 19 (2018 est.) |
| Telephones - mobile cellular: | total subscriptions: 20,731,169 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 72 (2018 est.) |
| Telephone system: | general assessment: modern and expanding; by late 2018 teledensity has fallen due to political upheaval in the country with people holding on to mobile service, but cancelling fixed-line telecom services; poor quality of service in many areas of the country due to financial concerns of customers, decrepit sate of fixed-line network and difficulty to pay for equipment from foreign vendors; popularity of social networks has given growth to mobile data traffic; LTE population coverage about 47% (2018) |
| Telephone system: | domestic: two domestic satellite systems with three earth stations; recent substantial improvement in telephone service in rural areas; installation of a national inter-urban fiber-optic network capable of digital multimedia services;Â 3 major providers operate in the mobile market and compete with state-owned company; fixed-line 19 per 100 and mobile-cellular telephone subscribership aboutÂ 78 per 100 persons (2018) |
| Telephone system: | international: country code - 58; submarine cable systems provide connectivity to Cuba and the Caribbean, Central and South America, and US; satellite earth stations - 1 Intelsat (Atlantic Ocean) and 1 PanAmSat; participating with Colombia, Ecuador, Peru, and Bolivia in the construction of an international fiber-optic network |
| Broadcast media: | government supervises a mixture of state-run and private broadcast media; 13 public service networks, 61 privately owned TV networks, a privately owned news channel with limited national coverage, and a government-backed Pan-American channel; state-run radio network includes roughly 65 news stations and another 30 stations targeted at specific audiences; state-sponsored community broadcasters include 235 radio stations and 44 TV stations; the number of private broadcast radio stations has been declining, but many still remain in operation |
| Internet country code: | .ve |
| Internet users: | total: 18,547,381 |
| Internet users: | percent of population: 60% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 2,610,118 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 8 (2017 est.) |
