| Communications | VENEZUELA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 7,752,232 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 25 (July 2016 est.) |
| Telephones - mobile cellular: | total: 27,600,893 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 89 (July 2016 est.) |
| Telephone system: | general assessment: modern and expanding |
| Telephone system: | domestic: two domestic satellite systems with three earth stations; recent substantial improvement in telephone service in rural areas; installation of a national interurban fiber-optic network capable of digital multimedia services; three major providers operate the mobile market; combined fixed-line and mobile-cellular telephone subscribership about 115 per 100 persons |
| Telephone system: | international: country code - 58; submarine cable systems provide connectivity to Cuba and the Caribbean, Central and South America, and US; satellite earth stations - 1 Intelsat (Atlantic Ocean) and 1 PanAmSat; participating with Colombia, Ecuador, Peru, and Bolivia in the construction of an international fiber-optic network (2016) |
| Broadcast media: | government supervises a mixture of state-run and private broadcast media; 13 public service networks, 61 privately owned TV networks, a privately owned news channel with limited national coverage, and a government-backed Pan-American channel; state-run radio network includes roughly 65 news stations and another 30 stations targeted at specific audiences; state-sponsored community broadcasters include 235 radio stations and 44 TV stations; the number of private broadcast radio stations has been declining, but many still remain in operation (2014) |
| Internet country code: | .ve |
| Internet users: | total: 18,547,381 |
| Internet users: | percent of population: 60.0% (July 2016 est.) |
