| Communications | Venezuela |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 5,501,135 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 19.17 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 16,664,106 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 58.07 (2019 est.) |
| Telecommunication systems: | general assessment: by late 2018 teledensity has fallen due to political upheaval in the country with people holding on to mobile service, but cancelling fixed-line telecom services; poor quality of service in many areas of the country due to financial concerns of customers, decrepit sate of fixed-line network and difficulty to pay for equipment from foreign vendors; popularity of social networks has given growth to mobile data traffic; LTE population coverage about 46%; govt. launches National Fiber Optic backbone project; mobile penetration below average for South America; MNO suffering from stolen or damaged infrastructure (2020) |
| Telecommunication systems: | domestic: two domestic satellite systems with three earth stations; recent substantial improvement in telephone service in rural areas; 3 major providers operate in the mobile market and compete with state-owned company; fixed-line 19 per 100 and mobile-cellular telephone subscribership about 58 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 58; landing points for the Venezuela Festoon, ARCOS, PAN-AM, SAC, GlobeNet, ALBA-1 and Americas II submarine cable system providing connectivity to the Caribbean, Central and South America, and US; satellite earth stations - 1 Intelsat (Atlantic Ocean) and 1 PanAmSat (2020) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | government supervises a mixture of state-run and private broadcast media; 13 public service networks, 61 privately owned TV networks, a privately owned news channel with limited national coverage, and a government-backed Pan-American channel; state-run radio network includes roughly 65 news stations and another 30 stations targeted at specific audiences; state-sponsored community broadcasters include 235 radio stations and 44 TV stations; the number of private broadcast radio stations has been declining, but many still remain in operation |
| Internet country code: | .ve |
| Internet users: | total: 21,354,499 |
| Internet users: | percent of population: 72% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 2,604,578 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 9 (2018 est.) |
