| Communications | Oman |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 497,716 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 11 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 6,943,910 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 151 (2017 est.) |
| Telephone system: | general assessment: modern system consisting of open-wire, microwave, and radiotelephone communication stations; limited coaxial cable; domestic satellite system with 8 earth stations (2016) |
| Telephone system: | domestic: fixed-line and mobile-cellular subscribership both increasing with fixed-line phone service gradually being introduced to remote villages using wireless local loop systems (2016) |
| Telephone system: | international: country code - 968; the Fiber-Optic Link Around the Globe (FLAG) and the SEA-ME-WE-3 submarine cable provide connectivity to Asia, the Middle East, and Europe; satellite earth stations - 2 Intelsat (Indian Ocean), 1 Arabsat (2016) |
| Broadcast media: | 1 state-run TV broadcaster; TV stations transmitting from Saudi Arabia, the UAE, Iran, and Yemen available via satellite TV; state-run radio operates multiple stations; first private radio station began operating in 2007 and several additional stations now operating (2018) |
| Internet country code: | .om |
| Internet users: | total: 2,342,483 (July 2016 est.) |
| Internet users: | percent of population: 69.8% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 348,926 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 8 (2017 est.) |
