| Communications | Togo |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 36,111 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 6,219,981 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 78 (2017 est.) |
| Telephone system: | general assessment: fair system based on a network of microwave radio relay routes supplemented by open-wire lines and a mobile-cellular system; (2018) |
| Telephone system: | domestic: fixed-line less than 1 per 100 and mobile-cellular 78 telephones per 100 persons with mobile-cellular use predominating (2018) |
| Telephone system: | international: country code - 228; satellite earth stations - 1 Intelsat (Atlantic Ocean), 1 Symphonie; West Africa Cable System (WACS), linking countries along the west coast of Africa with each other and with Portugal and the United Kingdom; GLO-1, linking countries along the west coast of Africa to each other and to Portugal, Spain and the United Kingdom |
| Broadcast media: | 1Â state-owned TV station with multiple transmission sites; five private TV stations broadcast locally; cable TV service is available; state-owned radio network with two stations (in Lome and Kara); several dozen private radio stations and a few community radio stations; transmissions of multiple international broadcasters available (2019) |
| Internet country code: | .tg |
| Internet users: | total: 877,310 |
| Internet users: | percent of population: 11.3% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 45,756 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 1 (2017 est.) |
