| Communications | BOLIVIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 881,084 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 8 (July 2015 est.) |
| Telephones - mobile cellular: | total: 10.163 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 94 (July 2015 est.) |
| Telephone system: | general assessment: Bolivian National Telecommunications Company was privatized in 1995 but re-nationalized in 2007; the primary trunk system is being expanded and employs digital microwave radio relay; some areas are served by fiber-optic cable; system operations, reliability, and coverage have steadily improved |
| Telephone system: | domestic: most telephones are concentrated in La Paz, Santa Cruz, and other capital cities; mobile-cellular telephone use expanding rapidly and, in 2015, teledensity reached about 95 per 100 persons |
| Telephone system: | international: country code - 591; satellite earth station - 1 Intelsat (Atlantic Ocean) (2015) |
| Broadcast media: | large number of radio and TV stations broadcasting with private media outlets dominating; state-owned and private radio and TV stations generally operating freely, although both pro-government and anti-government groups have attacked media outlets in response to their reporting (2010) |
| Internet country code: | .bo |
| Internet users: | total: 4.871 million |
| Internet users: | percent of population: 45.1% (July 2015 est.) |
