| Communications | BOLIVIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 867,302 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 8 (July 2016 est.) |
| Telephones - mobile cellular: | total: 10,165,308 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 93 (July 2016 est.) |
| Telephone system: | general assessment: Bolivian National Telecommunications Company was privatized in 1995 but re-nationalized in 2007; the primary trunk system is being expanded and employs digital microwave radio relay; some areas are served by fiber-optic cable; system operations, reliability, and coverage have steadily improved |
| Telephone system: | domestic: most telephones are concentrated in La Paz, Santa Cruz, and other capital cities; mobile-cellular telephone use expanding rapidly and, in 2016, teledensity stood at 93 per 100 persons |
| Telephone system: | international: country code - 591; satellite earth station - 1 Intelsat (Atlantic Ocean) (2016) |
| Broadcast media: | large number of radio and TV stations broadcasting with private media outlets dominating; state-owned and private radio and TV stations generally operating freely, although both pro-government and anti-government groups have attacked media outlets in response to their reporting (2010) |
| Internet country code: | .bo |
| Internet users: | total: 4,354,678 |
| Internet users: | percent of population: 39.7% (July 2016 est.) |
