| Communications | ANGUILLA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 6,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 37 (July 2016 est.) |
| Telephones - mobile cellular: | total: 26,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 158 (July 2016 est.) |
| Telephone system: | general assessment: modern internal telephone system |
| Telephone system: | domestic: fixed-line teledensity is about 35 per 100 persons; mobile-cellular teledensity is roughly 160 per 100 persons |
| Telephone system: | international: country code - 1-264; landing point for the East Caribbean Fiber System submarine cable with links to 13 other islands in the eastern Caribbean extending from the British Virgin Islands to Trinidad; microwave radio relay to island of Saint Martin/Sint Maarten (2015) |
| Broadcast media: | 1 private TV station; multi-channel cable TV subscription services are available; about 10 radio stations, one of which is government-owned (2009) |
| Internet country code: | .ai |
| Internet users: | total: 13,665 |
| Internet users: | percent of population: 81.6% (July 2016 est.) |
