| Communications | Anguilla |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 6,000 (July 2016 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 37 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 26,000 (July 2016 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 158 (July 2016 est.) |
| Telephone system: | general assessment: modern internal telephone system with fiber-optic trunk lines; telecome sector provides a realatively high contribution to overall GDP; numberous competitors licensed, but small and localized (2017) |
| Telephone system: | domestic: fixed-line teledensity is about 37 per 100 persons; mobile-cellular teledensity is roughlyÂ 158 per 100 persons (2017) |
| Telephone system: | international: country code - 1-264; landing point for the East Caribbean Fiber System submarine cable with links to 13 other islands in the eastern Caribbean extending from the British Virgin Islands to Trinidad; microwave radio relay to island of Saint Martin/Sint Maarten |
| Broadcast media: | 1 private TV station; multi-channel cable TV subscription services are available; about 10 radio stations, one of which is government-owned (2009) |
| Internet country code: | .ai |
| Internet users: | total: 13,665 (July 2016 est.) |
| Internet users: | percent of population: 81.6% (July 2016 est.) |
