| Communications | Kenya |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 68,072 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 54,336,841 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 103.77 (2019 est.) |
| Telecommunication systems: | general assessment: the mobile-cellular system is generally good with a mobile subscriber base of 47 million, especially in urban areas; fixed-line telephone system is small and inefficient; trunks are primarily microwave radio relay; to encourage advancement of the LTE services the govt. has fostered an open-access approach and pushed for a national broadband strategy; more licensing being awarded has led to competition which is good for growth; govt. commits KE 300 million to its free Wi-Fi project (2020) |
| Telecommunication systems: | domestic: fixed-line subscriptions stand at less than 1 per 100 persons; multiple providers in the mobile-cellular segment of the market fostering a boom in mobile-cellular telephone usage with teledensity reaching 104 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 254; landing point for the EASSy, TEAMS, LION2, DARE1, PEACE Cable, and SEACOM fiber-optic submarine cable systems covering East, NorthÂ and South Africa, Europe, the Middle East, and Asia; satellite earth stations - 4 Intelsat; launched first micro satellites in 2018 (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | about a half-dozen large-scale privately owned media companies with TV and radio stations, as well as a state-owned TV broadcaster, provide service nationwide; satellite and cable TV subscription services available; state-owned radio broadcaster operates 2 national radio channels and provides regional and local radio services in multiple languages; many private radio stations broadcast on a national level along with over 100 private and non-profit regional stations broadcasting in local languages; TV transmissions of all major international broadcasters available, mostly via paid subscriptions; direct radio frequency modulation transmissions available for several foreign government-owned broadcasters (2019) |
| Internet country code: | .ke |
| Internet users: | total: 9,129,243 |
| Internet users: | percent of population: 17.83% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 371,498 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 1 less than 1 (2018 est.) |
