| Communications | Namibia |
| --- | --- |
| Telephones - main lines in use: | 142,100 (2009) |
| Telephones - mobile cellular: | 1.217 million (2009) |
| Telephone system: | general assessment: good system; core fiber-optic network links most centers and connections are now digital |
| Telephone system: | domestic: multiple mobile-cellular providers with a combined subscribership of nearly 60 telephones per 100 persons; combined fixed-line and mobile-cellular teledensity about 65 per 100 persons |
| Telephone system: | international: country code - 264; fiber-optic cable to South Africa, microwave radio relay link to Botswana, direct links to other neighboring countries; connected to the South African Far East (SAFE) submarine cable through South Africa; satellite earth stations - 4 Intelsat (2008) |
| Broadcast media: | 1 private and 1 state-run television station; satellite and cable TV service is available; state-run radio service broadcasts in multiple languages; about a dozen private radio stations operating; transmissions of multiple international broadcasters are available (2007) |
| Internet country code: | .na |
| Internet hosts: | 76,020 (2010) |
| Internet users: | 127,500 (2009) |
