| Communications | Ghana |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 301,551 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 36,751,761 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 134 (2017 est.) |
| Telephone system: | general assessment: primarily microwave radio relay; wireless local loop has been installed; 2019 to bring universal access licences; government invested in fibre infrastructure; one of the most active mobile markets in Africa (2017) |
| Telephone system: | domestic: fixed-line 1 per 100 subscriptions; competition among multiple mobile-cellular providers has spurred growth with a subscribership of more than 140 per 100 persons and rising (2017) |
| Telephone system: | international: country code - 233; landing point for the SAT-3/WASC, Main One, and GLO-1 fiber-optic submarine cables that provide connectivity to South Africa, Europe, and Asia; satellite earth stations - 4 Intelsat (Atlantic Ocean); microwave radio relay link to Panaftel system connects Ghana to its neighbors (2016) |
| Broadcast media: | state-owned TV station, 2 state-owned radio networks; several privately owned TV stations and a large number of privately owned radio stations; transmissions of multiple international broadcasters are accessible; several cable and satellite TV subscription services are obtainable (2007) |
| Internet country code: | .gh |
| Internet users: | total: 9,328,018 (July 2016 est.) |
| Internet users: | percent of population: 34.7% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 56,810 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
